level,code,type,name,revoked
4,511922132,镇,云顶镇,
4,511922133,镇,公山镇,
4,511922197,镇,东榆镇,revoked
4,511922209,乡,团结乡,
4,511922219,乡,双桂乡,revoked
4,511922247,乡,神门乡,
3,511923000,县,平昌县,
4,511923001,街道,同州街道,
4,511923002,街道,金宝街道,
4,511923003,街道,江口街道,
4,511923101,镇,响滩镇,
4,511923102,镇,西兴镇,
4,511923103,镇,佛楼镇,
4,511923104,镇,白衣镇,
4,511923105,镇,涵水镇,
4,511923106,镇,岳家镇,
4,511923107,镇,兰草镇,
4,511923108,镇,驷马镇,
4,511923110,镇,元山镇,
4,511923111,镇,云台镇,
4,511923112,镇,邱家镇,
4,511923113,镇,笔山镇,
4,511923114,镇,镇龙镇,
4,511923115,镇,得胜镇,
4,511923118,镇,灵山镇,
4,511923119,镇,望京镇,
4,511923120,镇,土兴镇,
4,511923122,镇,泥龙镇,
4,511923123,镇,板庙镇,
4,511923124,镇,龙岗镇,
4,511923125,镇,青云镇,
4,511923126,镇,大寨镇,
4,511923127,镇,土垭镇,
4,511923128,镇,澌岸镇,
4,511923130,镇,粉壁镇,
4,511923133,镇,三十二梁镇,
4,511923134,镇,江家口镇,
4,511923135,镇,岩口镇,
4,511923191,镇,澌滩镇,revoked
4,511923293,乡,福申乡,revoked
4,511923295,乡,双鹿乡,revoked
2,512000000,地级市,资阳市,
3,512002000,市辖区,雁江区,
4,512002001,街道,莲花街道,
4,512002002,街道,三贤祠街道,
4,512002003,街道,资溪街道,
4,512002004,街道,狮子山街道,
4,512002005,街道,宝莲街道,
4,512002100,镇,雁江镇,
4,512002101,镇,松涛镇,
4,512002102,镇,宝台镇,
4,512002103,镇,临江镇,
